# T01 legacy old->new Shimura-curve label map
# STATUS: PROVISIONAL - pending T27 reload. The `new_label` column
#   holds labels currently shipped in gps_shimura_test; these PREDATE
#   the T29 canonical sort (Q15.3) and WILL be reassigned on reload.
#   The durable key is (join_discB, join_discO, join_deg_mu,
#   join_level, join_al_subgroup); re-derive new_label after T27 via
#   the recipe in T01-report.md.  al_subgroup = the set of Hall
#   divisors m with w_m in H (== the legacy bracket, incl. 1).
# Generated by code/scripts/t01_build_map.py in worktree ticket/T01.
old_label,status,new_label,join_discB,join_discO,join_deg_mu,join_level,join_al_subgroup,join_al_gen_norms,join_genus,model_family,pt_genus,devmirror_genus,in_models,in_points,model_dup_count,notes
"6.17-[1,2,17,34]",UNMAPPED_PENDING_GENERATION,,6,102,1,1,"1,2,17,34","2,17,34",0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=102 not generated yet; base row exists (6.102.1.1.4.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,2,17,34}"
"6.17-[1,2,51,102]",UNMAPPED_PENDING_GENERATION,,6,102,1,1,"1,2,51,102","2,51,102",0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=102 not generated yet; base row exists (6.102.1.1.4.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,2,51,102}"
"6.17-[1,3,17,51]",UNMAPPED_PENDING_GENERATION,,6,102,1,1,"1,3,17,51","3,17,51",1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=102 not generated yet; base row exists (6.102.1.1.4.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,3,17,51}"
"6.17-[1,3,34,102]",UNMAPPED_PENDING_GENERATION,,6,102,1,1,"1,3,34,102","3,34,102",0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=102 not generated yet; base row exists (6.102.1.1.4.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,3,34,102}"
"6.17-[1,6,17,102]",UNMAPPED_PENDING_GENERATION,,6,102,1,1,"1,6,17,102","6,17,102",1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=102 not generated yet; base row exists (6.102.1.1.4.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,6,17,102}"
"6.17-[1,6,34,51]",UNMAPPED_PENDING_GENERATION,,6,102,1,1,"1,6,34,51","6,34,51",0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=102 not generated yet; base row exists (6.102.1.1.4.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,6,34,51}"
"6.17-[1,2,3,6,17,34,51,102]",UNMAPPED_PENDING_GENERATION,,6,102,1,1,"1,2,3,6,17,34,51,102","2,3,6,17,34,51,102",0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=102 not generated yet; base row exists (6.102.1.1.4.3.a.1); full Atkin-Lehner quotient X*(6;17); match future row by autmuO_norms generating the AL subgroup {1,2,3,6,17,34,51,102}"
6.19-[1],MAPPED_PROVISIONAL,6.114.1.1.2.3.a.1,6,114,1,1,1,,3,model,3,3,True,True,1,
"6.19-[1,2]",UNMAPPED_PENDING_GENERATION,,6,114,1,1,"1,2",2,2,model,2,,True,True,1,"level-1 enhanced AL-quotient rows for discO=114 not generated yet; base row exists (6.114.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,2}"
"6.19-[1,3]",UNMAPPED_PENDING_GENERATION,,6,114,1,1,"1,3",3,1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=114 not generated yet; base row exists (6.114.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,3}"
"6.19-[1,6]",UNMAPPED_PENDING_GENERATION,,6,114,1,1,"1,6",6,2,model,2,,True,True,1,"level-1 enhanced AL-quotient rows for discO=114 not generated yet; base row exists (6.114.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,6}"
"6.19-[1,19]",UNMAPPED_PENDING_GENERATION,,6,114,1,1,"1,19",19,1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=114 not generated yet; base row exists (6.114.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,19}"
"6.19-[1,38]",UNMAPPED_PENDING_GENERATION,,6,114,1,1,"1,38",38,2,model,2,,True,True,1,"level-1 enhanced AL-quotient rows for discO=114 not generated yet; base row exists (6.114.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,38}"
"6.19-[1,57]",UNMAPPED_PENDING_GENERATION,,6,114,1,1,"1,57",57,1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=114 not generated yet; base row exists (6.114.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,57}"
"6.19-[1,114]",UNMAPPED_PENDING_GENERATION,,6,114,1,1,"1,114",114,0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=114 not generated yet; base row exists (6.114.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,114}"
"6.19-[1,2,3,6]",UNMAPPED_PENDING_GENERATION,,6,114,1,1,"1,2,3,6","2,3,6",1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=114 not generated yet; base row exists (6.114.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,2,3,6}"
"6.19-[1,2,19,38]",UNMAPPED_PENDING_GENERATION,,6,114,1,1,"1,2,19,38","2,19,38",1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=114 not generated yet; base row exists (6.114.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,2,19,38}"
"6.19-[1,2,57,114]",UNMAPPED_PENDING_GENERATION,,6,114,1,1,"1,2,57,114","2,57,114",0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=114 not generated yet; base row exists (6.114.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,2,57,114}"
"6.19-[1,3,19,57]",UNMAPPED_PENDING_GENERATION,,6,114,1,1,"1,3,19,57","3,19,57",0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=114 not generated yet; base row exists (6.114.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,3,19,57}"
"6.19-[1,3,38,114]",UNMAPPED_PENDING_GENERATION,,6,114,1,1,"1,3,38,114","3,38,114",0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=114 not generated yet; base row exists (6.114.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,3,38,114}"
"6.19-[1,6,19,114]",UNMAPPED_PENDING_GENERATION,,6,114,1,1,"1,6,19,114","6,19,114",0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=114 not generated yet; base row exists (6.114.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,6,19,114}"
"6.19-[1,6,38,57]",UNMAPPED_PENDING_GENERATION,,6,114,1,1,"1,6,38,57","6,38,57",1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=114 not generated yet; base row exists (6.114.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,6,38,57}"
"6.19-[1,2,3,6,19,38,57,114]",UNMAPPED_PENDING_GENERATION,,6,114,1,1,"1,2,3,6,19,38,57,114","2,3,6,19,38,57,114",0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=114 not generated yet; base row exists (6.114.1.1.2.3.a.1); full Atkin-Lehner quotient X*(6;19); match future row by autmuO_norms generating the AL subgroup {1,2,3,6,19,38,57,114}"
6.29-[1],MAPPED_PROVISIONAL,6.174.1.1.4.5.a.1,6,174,1,1,1,,5,model,5,5,True,True,1,
"6.29-[1,2]",UNMAPPED_PENDING_GENERATION,,6,174,1,1,"1,2",2,2,model,2,,True,True,1,"level-1 enhanced AL-quotient rows for discO=174 not generated yet; base row exists (6.174.1.1.4.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,2}"
"6.29-[1,3]",UNMAPPED_PENDING_GENERATION,,6,174,1,1,"1,3",3,3,model,3,,True,True,1,"level-1 enhanced AL-quotient rows for discO=174 not generated yet; base row exists (6.174.1.1.4.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,3}"
"6.29-[1,6]",UNMAPPED_PENDING_GENERATION,,6,174,1,1,"1,6",6,2,model,2,,True,True,1,"level-1 enhanced AL-quotient rows for discO=174 not generated yet; base row exists (6.174.1.1.4.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,6}"
"6.29-[1,29]",UNMAPPED_PENDING_GENERATION,,6,174,1,1,"1,29",29,3,model,3,,True,True,1,"level-1 enhanced AL-quotient rows for discO=174 not generated yet; base row exists (6.174.1.1.4.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,29}"
"6.29-[1,58]",UNMAPPED_PENDING_GENERATION,,6,174,1,1,"1,58",58,2,model,2,,True,True,1,"level-1 enhanced AL-quotient rows for discO=174 not generated yet; base row exists (6.174.1.1.4.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,58}"
"6.29-[1,87]",UNMAPPED_PENDING_GENERATION,,6,174,1,1,"1,87",87,3,model,3,,True,True,1,"level-1 enhanced AL-quotient rows for discO=174 not generated yet; base row exists (6.174.1.1.4.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,87}"
"6.29-[1,174]",UNMAPPED_PENDING_GENERATION,,6,174,1,1,"1,174",174,0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=174 not generated yet; base row exists (6.174.1.1.4.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,174}"
"6.29-[1,2,3,6]",UNMAPPED_PENDING_GENERATION,,6,174,1,1,"1,2,3,6","2,3,6",1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=174 not generated yet; base row exists (6.174.1.1.4.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,2,3,6}"
"6.29-[1,2,29,58]",UNMAPPED_PENDING_GENERATION,,6,174,1,1,"1,2,29,58","2,29,58",1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=174 not generated yet; base row exists (6.174.1.1.4.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,2,29,58}"
"6.29-[1,2,87,174]",UNMAPPED_PENDING_GENERATION,,6,174,1,1,"1,2,87,174","2,87,174",0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=174 not generated yet; base row exists (6.174.1.1.4.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,2,87,174}"
"6.29-[1,3,29,87]",UNMAPPED_PENDING_GENERATION,,6,174,1,1,"1,3,29,87","3,29,87",2,model,2,,True,True,1,"level-1 enhanced AL-quotient rows for discO=174 not generated yet; base row exists (6.174.1.1.4.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,3,29,87}"
"6.29-[1,3,58,174]",UNMAPPED_PENDING_GENERATION,,6,174,1,1,"1,3,58,174","3,58,174",0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=174 not generated yet; base row exists (6.174.1.1.4.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,3,58,174}"
"6.29-[1,6,29,174]",UNMAPPED_PENDING_GENERATION,,6,174,1,1,"1,6,29,174","6,29,174",0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=174 not generated yet; base row exists (6.174.1.1.4.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,6,29,174}"
"6.29-[1,6,58,87]",UNMAPPED_PENDING_GENERATION,,6,174,1,1,"1,6,58,87","6,58,87",1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=174 not generated yet; base row exists (6.174.1.1.4.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,6,58,87}"
"6.29-[1,2,3,6,29,58,87,174]",UNMAPPED_PENDING_GENERATION,,6,174,1,1,"1,2,3,6,29,58,87,174","2,3,6,29,58,87,174",0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=174 not generated yet; base row exists (6.174.1.1.4.5.a.1); full Atkin-Lehner quotient X*(6;29); match future row by autmuO_norms generating the AL subgroup {1,2,3,6,29,58,87,174}"
6.31-[1],MAPPED_PROVISIONAL,6.186.1.1.2.5.a.1,6,186,1,1,1,,5,model,5,5,True,True,1,
"6.31-[1,2]",UNMAPPED_PENDING_GENERATION,,6,186,1,1,"1,2",2,3,model,3,,True,True,1,"level-1 enhanced AL-quotient rows for discO=186 not generated yet; base row exists (6.186.1.1.2.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,2}"
"6.31-[1,3]",UNMAPPED_PENDING_GENERATION,,6,186,1,1,"1,3",3,2,model,2,,True,True,1,"level-1 enhanced AL-quotient rows for discO=186 not generated yet; base row exists (6.186.1.1.2.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,3}"
"6.31-[1,6]",UNMAPPED_PENDING_GENERATION,,6,186,1,1,"1,6",6,2,model,2,,True,True,1,"level-1 enhanced AL-quotient rows for discO=186 not generated yet; base row exists (6.186.1.1.2.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,6}"
"6.31-[1,31]",UNMAPPED_PENDING_GENERATION,,6,186,1,1,"1,31",31,3,model,3,,True,True,1,"level-1 enhanced AL-quotient rows for discO=186 not generated yet; base row exists (6.186.1.1.2.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,31}"
"6.31-[1,62]",UNMAPPED_PENDING_GENERATION,,6,186,1,1,"1,62",62,3,model,3,,True,True,1,"level-1 enhanced AL-quotient rows for discO=186 not generated yet; base row exists (6.186.1.1.2.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,62}"
"6.31-[1,93]",UNMAPPED_PENDING_GENERATION,,6,186,1,1,"1,93",93,2,model,2,,True,True,1,"level-1 enhanced AL-quotient rows for discO=186 not generated yet; base row exists (6.186.1.1.2.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,93}"
"6.31-[1,186]",UNMAPPED_PENDING_GENERATION,,6,186,1,1,"1,186",186,0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=186 not generated yet; base row exists (6.186.1.1.2.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,186}"
"6.31-[1,2,3,6]",UNMAPPED_PENDING_GENERATION,,6,186,1,1,"1,2,3,6","2,3,6",1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=186 not generated yet; base row exists (6.186.1.1.2.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,2,3,6}"
"6.31-[1,2,31,62]",UNMAPPED_PENDING_GENERATION,,6,186,1,1,"1,2,31,62","2,31,62",2,model,2,,True,True,1,"level-1 enhanced AL-quotient rows for discO=186 not generated yet; base row exists (6.186.1.1.2.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,2,31,62}"
"6.31-[1,2,93,186]",UNMAPPED_PENDING_GENERATION,,6,186,1,1,"1,2,93,186","2,93,186",0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=186 not generated yet; base row exists (6.186.1.1.2.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,2,93,186}"
"6.31-[1,3,31,93]",UNMAPPED_PENDING_GENERATION,,6,186,1,1,"1,3,31,93","3,31,93",1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=186 not generated yet; base row exists (6.186.1.1.2.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,3,31,93}"
"6.31-[1,3,62,186]",UNMAPPED_PENDING_GENERATION,,6,186,1,1,"1,3,62,186","3,62,186",0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=186 not generated yet; base row exists (6.186.1.1.2.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,3,62,186}"
"6.31-[1,6,31,186]",UNMAPPED_PENDING_GENERATION,,6,186,1,1,"1,6,31,186","6,31,186",0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=186 not generated yet; base row exists (6.186.1.1.2.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,6,31,186}"
"6.31-[1,6,62,93]",UNMAPPED_PENDING_GENERATION,,6,186,1,1,"1,6,62,93","6,62,93",1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=186 not generated yet; base row exists (6.186.1.1.2.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,6,62,93}"
"6.31-[1,2,3,6,31,62,93,186]",UNMAPPED_PENDING_GENERATION,,6,186,1,1,"1,2,3,6,31,62,93,186","2,3,6,31,62,93,186",0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=186 not generated yet; base row exists (6.186.1.1.2.5.a.1); full Atkin-Lehner quotient X*(6;31); match future row by autmuO_norms generating the AL subgroup {1,2,3,6,31,62,93,186}"
6.37-[1],MAPPED_PROVISIONAL,6.222.1.1.4.5.a.1,6,222,1,1,1,,5,model,5,5,True,True,1,
"6.37-[1,2]",UNMAPPED_PENDING_GENERATION,,6,222,1,1,"1,2",2,2,model,2,,True,True,1,"level-1 enhanced AL-quotient rows for discO=222 not generated yet; base row exists (6.222.1.1.4.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,2}"
"6.37-[1,3]",UNMAPPED_PENDING_GENERATION,,6,222,1,1,"1,3",3,2,model,2,,True,True,1,"level-1 enhanced AL-quotient rows for discO=222 not generated yet; base row exists (6.222.1.1.4.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,3}"
"6.37-[1,6]",UNMAPPED_PENDING_GENERATION,,6,222,1,1,"1,6",6,3,model,3,,True,True,1,"level-1 enhanced AL-quotient rows for discO=222 not generated yet; base row exists (6.222.1.1.4.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,6}"
"6.37-[1,37]",UNMAPPED_PENDING_GENERATION,,6,222,1,1,"1,37",37,2,model,2,,True,True,1,"level-1 enhanced AL-quotient rows for discO=222 not generated yet; base row exists (6.222.1.1.4.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,37}"
"6.37-[1,74]",UNMAPPED_PENDING_GENERATION,,6,222,1,1,"1,74",74,3,model,3,,True,True,1,"level-1 enhanced AL-quotient rows for discO=222 not generated yet; base row exists (6.222.1.1.4.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,74}"
"6.37-[1,111]",UNMAPPED_PENDING_GENERATION,,6,222,1,1,"1,111",111,3,model,3,,True,True,1,"level-1 enhanced AL-quotient rows for discO=222 not generated yet; base row exists (6.222.1.1.4.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,111}"
"6.37-[1,222]",UNMAPPED_PENDING_GENERATION,,6,222,1,1,"1,222",222,0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=222 not generated yet; base row exists (6.222.1.1.4.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,222}"
"6.37-[1,2,3,6]",UNMAPPED_PENDING_GENERATION,,6,222,1,1,"1,2,3,6","2,3,6",1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=222 not generated yet; base row exists (6.222.1.1.4.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,2,3,6}"
"6.37-[1,2,37,74]",UNMAPPED_PENDING_GENERATION,,6,222,1,1,"1,2,37,74","2,37,74",1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=222 not generated yet; base row exists (6.222.1.1.4.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,2,37,74}"
"6.37-[1,2,111,222]",UNMAPPED_PENDING_GENERATION,,6,222,1,1,"1,2,111,222","2,111,222",0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=222 not generated yet; base row exists (6.222.1.1.4.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,2,111,222}"
"6.37-[1,3,37,111]",UNMAPPED_PENDING_GENERATION,,6,222,1,1,"1,3,37,111","3,37,111",1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=222 not generated yet; base row exists (6.222.1.1.4.5.a.1); match future row by autmuO_norms generating the AL subgroup {1,3,37,111}"
